kappa,h,p,estimator,budget,comparison,equal_CNOT_shots_completed,gate_shots,counts,fingerprint,scope
0.45,0.0125,0,raw,10000,equal_total_shots,False,70000,results/stage6_v1/end_to_end/measurements/ddf10da4f3f82a067cfa696eee527f99247bd5deebae63cecd4e3d4aef0f3a87.npz,ddf10da4f3f82a067cfa696eee527f99247bd5deebae63cecd4e3d4aef0f3a87,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0125,0,raw,100000,equal_total_shots,False,700000,results/stage6_v1/end_to_end/measurements/ddf10da4f3f82a067cfa696eee527f99247bd5deebae63cecd4e3d4aef0f3a87.npz,ddf10da4f3f82a067cfa696eee527f99247bd5deebae63cecd4e3d4aef0f3a87,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0125,0,zne,10000,equal_total_shots,False,209986,results/stage6_v1/end_to_end/measurements/99ace4eae53beb74189b075afd976a407a3dfbf5e5697041040f75a697ab30f4.npz,99ace4eae53beb74189b075afd976a407a3dfbf5e5697041040f75a697ab30f4,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0125,0,zne,100000,equal_total_shots,False,2099986,results/stage6_v1/end_to_end/measurements/99ace4eae53beb74189b075afd976a407a3dfbf5e5697041040f75a697ab30f4.npz,99ace4eae53beb74189b075afd976a407a3dfbf5e5697041040f75a697ab30f4,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0125,0,zne_quadratic,10000,equal_total_shots,False,209986,results/stage6_v1/end_to_end/measurements/99ace4eae53beb74189b075afd976a407a3dfbf5e5697041040f75a697ab30f4.npz,a44cb1e5baffcc87564126cc190ac47f32cb87e72b89d1e28847e65e4af1ba85,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0125,0,zne_quadratic,100000,equal_total_shots,False,2099986,results/stage6_v1/end_to_end/measurements/99ace4eae53beb74189b075afd976a407a3dfbf5e5697041040f75a697ab30f4.npz,a44cb1e5baffcc87564126cc190ac47f32cb87e72b89d1e28847e65e4af1ba85,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0125,0,sv,10000,equal_total_shots,False,70000,results/stage6_v1/end_to_end/measurements/d23749d51caff0cf4b88e046feb06359c5dd19eb22979b8cadf15f026aed9a5f.npz,d23749d51caff0cf4b88e046feb06359c5dd19eb22979b8cadf15f026aed9a5f,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0125,0,sv,100000,equal_total_shots,False,700000,results/stage6_v1/end_to_end/measurements/d23749d51caff0cf4b88e046feb06359c5dd19eb22979b8cadf15f026aed9a5f.npz,d23749d51caff0cf4b88e046feb06359c5dd19eb22979b8cadf15f026aed9a5f,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0125,0.01,raw,10000,equal_total_shots,False,70000,results/stage6_v1/end_to_end/measurements/493a34aaf18589d1da13a726a41aa3665f56e8cdc79bd96036a6c1eacfd26f63.npz,493a34aaf18589d1da13a726a41aa3665f56e8cdc79bd96036a6c1eacfd26f63,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0125,0.01,raw,100000,equal_total_shots,False,700000,results/stage6_v1/end_to_end/measurements/493a34aaf18589d1da13a726a41aa3665f56e8cdc79bd96036a6c1eacfd26f63.npz,493a34aaf18589d1da13a726a41aa3665f56e8cdc79bd96036a6c1eacfd26f63,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0125,0.01,zne,10000,equal_total_shots,False,209986,results/stage6_v1/end_to_end/measurements/0a381999f85f1df3377d83422496c69537226ebd5e46feb2d8fcb4e63c20e931.npz,0a381999f85f1df3377d83422496c69537226ebd5e46feb2d8fcb4e63c20e931,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0125,0.01,zne,100000,equal_total_shots,False,2099986,results/stage6_v1/end_to_end/measurements/0a381999f85f1df3377d83422496c69537226ebd5e46feb2d8fcb4e63c20e931.npz,0a381999f85f1df3377d83422496c69537226ebd5e46feb2d8fcb4e63c20e931,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0125,0.01,zne_quadratic,10000,equal_total_shots,False,209986,results/stage6_v1/end_to_end/measurements/0a381999f85f1df3377d83422496c69537226ebd5e46feb2d8fcb4e63c20e931.npz,b2f34e204fcacc3b8fb33fa6beb1b75005d1f79c905141affe9061580a7d0bc8,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0125,0.01,zne_quadratic,100000,equal_total_shots,False,2099986,results/stage6_v1/end_to_end/measurements/0a381999f85f1df3377d83422496c69537226ebd5e46feb2d8fcb4e63c20e931.npz,b2f34e204fcacc3b8fb33fa6beb1b75005d1f79c905141affe9061580a7d0bc8,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0125,0.01,sv,10000,equal_total_shots,False,70000,results/stage6_v1/end_to_end/measurements/c682de73d0f40d5034441db456d051c5aa9b25fd1f64bde0384b862fa7790a3e.npz,c682de73d0f40d5034441db456d051c5aa9b25fd1f64bde0384b862fa7790a3e,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0125,0.01,sv,100000,equal_total_shots,False,700000,results/stage6_v1/end_to_end/measurements/c682de73d0f40d5034441db456d051c5aa9b25fd1f64bde0384b862fa7790a3e.npz,c682de73d0f40d5034441db456d051c5aa9b25fd1f64bde0384b862fa7790a3e,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0125,0.05,raw,10000,equal_total_shots,False,70000,results/stage6_v1/end_to_end/measurements/0d5e26d78c212af30cfc620a74389bed02c10ad9bdf310d5da4dfc95980ef8c8.npz,0d5e26d78c212af30cfc620a74389bed02c10ad9bdf310d5da4dfc95980ef8c8,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
0.45,0.0125,0.05,raw,100000,equal_total_shots,False,700000,results/stage6_v1/end_to_end/measurements/0d5e26d78c212af30cfc620a74389bed02c10ad9bdf310d5da4dfc95980ef8c8.npz,0d5e26d78c212af30cfc620a74389bed02c10ad9bdf310d5da4dfc95980ef8c8,raw/SV same-circuit costs coincide; no three-arm gate-matched experiment
