RN_proxy_label,additional_evidence,bc,cohort,evidence,h,kappa,legacy_reference_level,n,physical_label,physical_level,reason,sources
,,PBC,development,No independent discrete phase label assigned; evaluate named finite-size features,0.15,0.45,RN_only,8;12;16,,RN_only,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/2017e196d1a35015e4c972e526e6e52ea3c4d49fee235934e0a6dd7e503f09b7.npz;results/stage6_v1/reference_atlas/cache/031b03cb9d55908402461332f9425de2712d009bf2b997fa3e6cd62489e6e204.npz;results/stage6_v1/reference_atlas/cache/82dd7e6e2446dfba6dca7e7cbaffda7403d971aaa7f4ff414a4f3c8a852edef2.npz
,,PBC,development,No independent discrete phase label assigned; evaluate named finite-size features,0.15,0.5,RN_only,8;12;16,,RN_only,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/d0fd98a4e68cde3f9743ff7f6d5c2913790820b3f76aec4723fe478510569c51.npz;results/stage6_v1/reference_atlas/cache/e65bfe15cbd85e4cb78277d5ad67ad9c14f18d037ef3494c6db86c3bd58c9e31.npz;results/stage6_v1/reference_atlas/cache/bfc12391af78c931c24fb6fdd947250e2d3b4baba304e94bbb1a19bd7111d169.npz
,,PBC,development,No independent discrete phase label assigned; evaluate named finite-size features,0.15,0.55,RN_only,8;12;16,,RN_only,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/a51376fb1a823c66c6c2d6c619f85a90a89c9e2956ffff7c7343cdef658c70c6.npz;results/stage6_v1/reference_atlas/cache/62711ca4bd5e45d0212b84ded989f57509fa1a2c1528f8d1b1a7317453a8e5dc.npz;results/stage6_v1/reference_atlas/cache/47fb75d0034c2a31b5a5e0f5cbb8807e92a4105c11992e1983e44eb3ce2d3465.npz
paramagnetic-like,,PBC,development,"Both order factors decrease with N12->16, polarization and stable sector gap; finite-size gapped-side evidence, no guarantee against very large xi",0.6,0.8,Rlarge_ED_interior,8;12;16,,RN_multisize_ED_pattern,N12/16 order/Binder/gap criteria alone support a finite-size pattern; commensurability can hide an incommensurate region. Not independent thermodynamic phase truth.,results/stage6_v1/reference_atlas/cache/8a3133ee36812fd00a6cc504c5c5e851149087e6d26dc2655b7d521729a24da2.npz;results/stage6_v1/reference_atlas/cache/29b57b8f02d9026d557125f93b4ce9637d556c95459d1641b67c180c1b1d34d0.npz;results/stage6_v1/reference_atlas/cache/013b906a5c0ae7cfad0fe8f118e6f52c70d8d9d797fb4c79f0c814b63f9b3f0e.npz
paramagnetic-like,,PBC,development,"Both order factors decrease with N12->16, polarization and stable sector gap; finite-size gapped-side evidence, no guarantee against very large xi",0.8,0.8,Rlarge_ED_interior,8;12;16,,RN_multisize_ED_pattern,N12/16 order/Binder/gap criteria alone support a finite-size pattern; commensurability can hide an incommensurate region. Not independent thermodynamic phase truth.,results/stage6_v1/reference_atlas/cache/16d93c2ff206181424c49d4eaac6abec14131a1ec11dcecf72b9c1566b964fc4.npz;results/stage6_v1/reference_atlas/cache/ccfde564487d72edad01f38bd4734e022118c77ba2dd1da9467461312b6a73e7.npz;results/stage6_v1/reference_atlas/cache/f9af225c6236d9f559a7235c857b0236fe3cce07092b3af855b81d88c79f6118.npz
ferro-like,"{'classical_defect_gap': 0.6000000000000001, 'local_h_over_gap': 0.033333333333333326, 'criterion': 'h/Delta_classical<=.05; N12/16 order, fourth-moment Binder, polarization and<2%size drop jointly agree. This local energy-scale check is NOT an operator-norm perturbation theorem or an exact phase boundary.'}",PBC,development,"N12/16 ferro order amplitude stable (<6% fall), high Binder; small positive field continuation, finite-size evidence only",0.02,0.425,Rlarge_ED_interior,8;12;16,ferro-like,R0_extension_low_field_multiN,"Classical ordered limit with a nonzero independently enumerated defect gap, small transverse field relative to that local scale, and strong multi-size order/Binder evidence.",results/stage6_v1/reference_atlas/cache/35ce9f24e0554ff6371ecbd188d91c6465ee629b182d498bcaf8b333520075f5.npz;results/stage6_v1/reference_atlas/cache/34ae613bd81ca6bdfe55f6af58f451e6f4bfabfbba8a888d5dfa90b8a31818d8.npz;results/stage6_v1/reference_atlas/cache/0d80b5ad96176ac30911d1968d9a2a9f9e5b59de8f09ecff8d013463f806a1f3.npz
ferro-like,,PBC,development,"N12/16 ferro order amplitude stable (<6% fall), high Binder; small positive field continuation, finite-size evidence only",0.035,0.45,Rlarge_ED_interior,8;12;16,,RN_multisize_ED_pattern,N12/16 order/Binder/gap criteria alone support a finite-size pattern; commensurability can hide an incommensurate region. Not independent thermodynamic phase truth.,results/stage6_v1/reference_atlas/cache/cfc4efffcf135d44fad1e7e4f18528da33b09262ca4b5e3ec998cd600690cd0f.npz;results/stage6_v1/reference_atlas/cache/9b34c08af7ecaf31330cdacb8b91e698b13a040ed0f6c755e87a16ea990cf597.npz;results/stage6_v1/reference_atlas/cache/722b4c3ab69be00fbcc2a5881e7ad167d56a1199ab9e52ae2940f860b21254bc.npz
ferro-like,,PBC,development,"N12/16 ferro order amplitude stable (<6% fall), high Binder; small positive field continuation, finite-size evidence only",0.05,0.475,Rlarge_ED_interior,8;12;16,,RN_multisize_ED_pattern,N12/16 order/Binder/gap criteria alone support a finite-size pattern; commensurability can hide an incommensurate region. Not independent thermodynamic phase truth.,results/stage6_v1/reference_atlas/cache/95fac06d226e586c785dd25c5bb09660b5dc815de17a6636b6071ac79515aa3b.npz;results/stage6_v1/reference_atlas/cache/5f3b8b1fd64daaf1dc4ce1b82e7b2f4986c7f1612411804907d0ba5cc031d282.npz;results/stage6_v1/reference_atlas/cache/32857dde0afa247ff41e1639e4318b1016e62993d09ae2ee1ac583bf5700a47c.npz
,,PBC,development,No independent discrete phase label assigned; evaluate named finite-size features,0.01,0.5,RN_only,8;12;16,,RN_only,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/57f4778782cb3120d3fd956a593d84307fa93730baf97c4a59fb83a86dc3c00c.npz;results/stage6_v1/reference_atlas/cache/435440b7ef29dbab0215080520c6e4dde307e30ff1d83b5635c2d587461b7093.npz;results/stage6_v1/reference_atlas/cache/aff21f296a78855d57bd482a88bedc4354eede5868731a8429df71e2f441bcaf.npz
,,PBC,development,No independent discrete phase label assigned; evaluate named finite-size features,0.075,0.5,RN_only,8;12;16,,RN_only,Analytic or explicitly qualified small/high-field interior evidence; finite-field extensions remain distinguishable from exact R0.,results/stage6_v1/reference_atlas/cache/c7fe8c1b2e357670efdf9eb62c8559cc659baad1f56805ea181217cd7cc62685.npz;results/stage6_v1/reference_atlas/cache/77f08a3dbebae31a4dd0467c688fe251355ee05679540d89b72b948b3ce2432d.npz;results/stage6_v1/reference_atlas/cache/153d224b7d0fd87aef32e7db272a5fb2ae56c6f08e052369ae5276a7ed6546b1.npz
